
2022/11/10 (15:25:13) | ===> btop++ v.1.2.13
2022/11/10 (15:25:13) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/11/10 (15:25:15) | ===> btop++ v.1.2.13
2022/11/10 (15:25:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/10 (15:25:47) | ===> btop++ v.1.2.13
2022/11/10 (15:25:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/10 (18:03:03) | ===> btop++ v.1.2.13
2022/11/10 (18:03:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/12 (13:43:08) | ===> btop++ v.1.2.13
2022/11/12 (13:43:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/12 (14:48:17) | ===> btop++ v.1.2.13
2022/11/12 (14:48:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/13 (18:52:56) | ===> btop++ v.1.2.13
2022/11/13 (18:52:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/13 (21:47:01) | ===> btop++ v.1.2.13
2022/11/13 (21:47:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/13 (21:50:50) | ===> btop++ v.1.2.13
2022/11/13 (21:50:50) | WARNING: Failed to join _runner thread on exit!

2022/11/13 (21:55:01) | ===> btop++ v.1.2.13
2022/11/13 (21:55:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/13 (21:55:15) | ===> btop++ v.1.2.13
2022/11/13 (21:55:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/23 (16:43:44) | ===> btop++ v.1.2.13
2022/11/23 (16:43:44) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/11/23 (17:26:44) | ===> btop++ v.1.2.13
2022/11/23 (17:26:44) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/11/23 (17:26:59) | ===> btop++ v.1.2.13
2022/11/23 (17:26:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/23 (17:37:41) | ===> btop++ v.1.2.13
2022/11/23 (17:37:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2022/11/23 (17:44:45) | WARNING: Failed to join _runner thread on exit!

2022/11/23 (17:44:47) | ===> btop++ v.1.2.13
2022/11/23 (17:44:47) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/11/23 (17:44:50) | ===> btop++ v.1.2.13
2022/11/23 (17:44:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/23 (18:04:47) | ===> btop++ v.1.2.13
2022/11/23 (18:04:47) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/11/23 (18:04:53) | ===> btop++ v.1.2.13
2022/11/23 (18:04:53) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/23 (18:06:26) | ===> btop++ v.1.2.13
2022/11/23 (18:06:26) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/23 (18:37:40) | ===> btop++ v.1.2.13
2022/11/23 (18:37:40) | WARNING: Failed to join _runner thread on exit!

2022/11/24 (16:11:58) | ===> btop++ v.1.2.13
2022/11/24 (16:11:58) | WARNING: Failed to join _runner thread on exit!

2022/11/28 (15:53:08) | ===> btop++ v.1.2.13
2022/11/28 (15:53:08) | WARNING: Failed to join _runner thread on exit!

2022/11/28 (16:10:00) | ===> btop++ v.1.2.13
2022/11/28 (16:10:00) | WARNING: Failed to join _runner thread on exit!

2022/11/28 (23:34:03) | ===> btop++ v.1.2.13
2022/11/28 (23:34:03) | WARNING: Failed to join _runner thread on exit!

2022/12/01 (12:35:00) | ===> btop++ v.1.2.13
2022/12/01 (12:35:00) | WARNING: Failed to join _runner thread on exit!

2022/12/01 (15:29:23) | ===> btop++ v.1.2.13
2022/12/01 (15:29:23) | WARNING: Failed to join _runner thread on exit!
